case,basis,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days
retained_w8_a1_r40_d2,retained,8,1,7,40.0,2,228195,223748,4447,0,0,0.9805122811630403,True,4007,46676
retained_w8_a1_r50_d1,retained,8,1,7,50.0,1,228195,209939,18256,0,0,0.9199982471132145,False,3531,27462
retained_w8_a1_r50_d2,retained,8,1,7,50.0,2,228195,226457,1738,0,0,0.9923837069173295,True,3531,27462
retained_w8_a2_r30_d1,retained,8,2,6,30.0,1,228195,62651,165544,0,0,0.27455027498411444,False,4687,413524
retained_w8_a2_r30_d2,retained,8,2,6,30.0,2,228195,129428,98767,0,0,0.5671815771598852,False,4687,413524
retained_w8_a2_r40_d1,retained,8,2,6,40.0,1,228195,167154,61041,0,0,0.7325050943272201,False,4279,93937
retained_w8_a2_r40_d2,retained,8,2,6,40.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4279,93937
retained_w8_a2_r50_d1,retained,8,2,6,50.0,1,228195,200456,27739,0,0,0.8784416836477574,False,3871,39504
retained_w8_a2_r50_d2,retained,8,2,6,50.0,2,228195,224578,3617,0,0,0.9841495212427968,True,3871,39504
retained_w9_a0_r30_d1,retained,9,0,9,30.0,1,228195,190590,37605,0,0,0.835206731085256,False,4075,54283
retained_w9_a0_r30_d2,retained,9,0,9,30.0,2,228195,222896,5299,0,0,0.9767786323100857,True,4075,54283
retained_w9_a0_r40_d1,retained,9,0,9,40.0,1,228195,211133,17062,0,0,0.9252306141677075,False,3463,25956
retained_w9_a0_r40_d2,retained,9,0,9,40.0,2,228195,226729,1466,0,0,0.9935756699314183,True,3463,25956
retained_w9_a0_r50_d1,retained,9,0,9,50.0,1,228195,218994,9201,0,0,0.9596792217182673,True,2851,16629
retained_w9_a0_r50_d2,retained,9,0,9,50.0,2,228195,228195,0,0,0,1.0,True,2851,16629
retained_w9_a1_r30_d1,retained,9,1,8,30.0,1,228195,167154,61041,0,0,0.7325050943272201,False,4279,93937
retained_w9_a1_r30_d2,retained,9,1,8,30.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4279,93937
retained_w9_a1_r40_d1,retained,9,1,8,40.0,1,228195,204580,23615,0,0,0.8965139464054865,False,3735,34292
retained_w9_a1_r40_d2,retained,9,1,8,40.0,2,228195,225394,2801,0,0,0.9877254102850632,True,3735,34292
retained_w9_a1_r50_d1,retained,9,1,8,50.0,1,228195,215307,12888,0,0,0.9435219877736146,False,3191,20787
retained_w9_a1_r50_d2,retained,9,1,8,50.0,2,228195,227724,471,0,0,0.9979359758101624,True,3191,20787
retained_w9_a2_r30_d1,retained,9,2,7,30.0,1,228195,127455,100740,0,0,0.5585354630907776,False,4483,171981
