case_key,period,policy,basis,lead_days,demand_start,demand_end,cost_end,target_share,evidence,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days,total_cost
full|extra0_ot0_temps0|deduplicated_sensitivity|30.0|1|1,full,extra0_ot0_temps0,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,215460,19332,196128,0,0,0.08972431077694236,False,12786,1774507,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|30.0|1|3,full,extra0_ot0_temps0,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,215460,19332,196128,0,0,0.08972431077694236,False,12786,1774507,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|30.0|2|1,full,extra0_ot0_temps0,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,215460,1826,182590,31044,0,0.008474890931031282,False,47746,8909551,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|30.0|2|3,full,extra0_ot0_temps0,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,215460,1826,182590,31044,0,0.008474890931031282,False,47746,8909551,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|40.0|0|1,full,extra0_ot0_temps0,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,215460,207265,8195,0,0,0.9619650979300102,True,4278,71957,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|40.0|0|3,full,extra0_ot0_temps0,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,215460,207265,8195,0,0,0.9619650979300102,True,4278,71957,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|40.0|1|1,full,extra0_ot0_temps0,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,40.0,2,215460,191261,24199,0,0,0.8876868096166342,False,4550,160617,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|40.0|1|3,full,extra0_ot0_temps0,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,40.0,2,215460,191261,24199,0,0,0.8876868096166342,False,4550,160617,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|40.0|2|1,full,extra0_ot0_temps0,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,40.0,2,215460,53696,161764,0,0,0.24921563167177202,False,7602,839713,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|40.0|2|3,full,extra0_ot0_temps0,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,40.0,2,215460,53696,161764,0,0,0.24921563167177202,False,7602,839713,238656.0
