policy,basis,extra_workers,ot_limit,temp_limit,lead_days,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days,regular_cost,overtime_cost,temporary_cost,committed_future_temp_shifts,committed_future_temp_cost,total_cost,overtime_paid_hours,temporary_shifts
extra0_ot0_temps0,deduplicated_sensitivity,0,0,0,3,6,0,6,50.0,2,215460,211844,3616,0,0,0.9832173025155482,True,3870,30205,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps0,deduplicated_sensitivity,0,0,0,1,6,1,5,50.0,2,215460,208569,6891,0,0,0.9680172653856864,True,4210,59773,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps0,deduplicated_sensitivity,0,0,0,3,6,1,5,50.0,2,215460,208569,6891,0,0,0.9680172653856864,True,4210,59773,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps0,deduplicated_sensitivity,0,0,0,1,6,2,4,50.0,2,215460,191261,24199,0,0,0.8876868096166342,False,4550,160617,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps0,deduplicated_sensitivity,0,0,0,3,6,2,4,50.0,2,215460,191261,24199,0,0,0.8876868096166342,False,4550,160617,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps2,retained,0,0,2,1,6,0,6,30.0,2,228195,203557,24638,0,0,0.8920309384517627,False,4687,210208,238656.0,0.0,23760.0,0,0,262416.0,0,99
extra0_ot0_temps2,retained,0,0,2,3,6,0,6,30.0,2,228195,140535,87660,0,0,0.6158548609741669,False,4687,372366,238656.0,0.0,2640.0,0,0,241296.0,0,11
extra0_ot0_temps2,retained,0,0,2,1,6,1,5,30.0,2,228195,154910,73285,0,0,0.6788492298253687,False,4891,351413,238656.0,0.0,48240.0,0,0,286896.0,0,201
extra0_ot0_temps2,retained,0,0,2,3,6,1,5,30.0,2,228195,38895,189300,0,0,0.17044632879773877,False,6560,772758,238656.0,0.0,34320.0,0,0,272976.0,0,143
extra0_ot0_temps2,retained,0,0,2,1,6,2,4,30.0,2,228195,34445,193750,0,0,0.15094546330988848,False,8790,1123124,238656.0,0.0,89280.0,0,0,327936.0,0,372
extra0_ot0_temps2,retained,0,0,2,3,6,2,4,30.0,2,228195,9021,219174,0,0,0.039531979228291596,False,11072,1646477,238656.0,0.0,84000.0,0,0,322656.0,0,350
extra0_ot0_temps2,retained,0,0,2,1,6,0,6,40.0,2,228195,222881,5314,0,0,0.9767128990556323,True,4279,75230,238656.0,0.0,4800.0,0,0,243456.0,0,20
extra0_ot0_temps2,retained,0,0,2,3,6,0,6,40.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4279,93937,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps2,retained,0,0,2,1,6,1,5,40.0,2,228195,217294,10901,0,0,0.9522294528802121,True,4551,147824,238656.0,0.0,11520.0,0,0,250176.0,0,48
extra0_ot0_temps2,retained,0,0,2,3,6,1,5,40.0,2,228195,193216,34979,0,0,0.8467144328315694,False,4551,218238,238656.0,0.0,480.0,0,0,239136.0,0,2
extra0_ot0_temps2,retained,0,0,2,1,6,2,4,40.0,2,228195,195415,32780,0,0,0.856350927934442,False,4823,249447,238656.0,0.0,32640.0,0,0,271296.0,0,136
extra0_ot0_temps2,retained,0,0,2,3,6,2,4,40.0,2,228195,74688,153507,0,0,0.32729902057450866,False,5920,611223,238656.0,0.0,14400.0,0,0,253056.0,0,60
extra0_ot0_temps2,retained,0,0,2,1,6,0,6,50.0,2,228195,226185,2010,0,0,0.9911917439032406,True,3871,37328,238656.0,0.0,1440.0,0,0,240096.0,0,6
extra0_ot0_temps2,retained,0,0,2,3,6,0,6,50.0,2,228195,224578,3617,0,0,0.9841495212427968,True,3871,39504,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps2,retained,0,0,2,1,6,1,5,50.0,2,228195,224170,4025,0,0,0.9823615767216635,True,4211,63051,238656.0,0.0,3600.0,0,0,242256.0,0,15
extra0_ot0_temps2,retained,0,0,2,3,6,1,5,50.0,2,228195,220533,7662,0,0,0.966423453625189,True,4211,77716,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps2,retained,0,0,2,1,6,2,4,50.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4551,141060,238656.0,0.0,10560.0,0,0,249216.0,0,44
extra0_ot0_temps2,retained,0,0,2,3,6,2,4,50.0,2,228195,193271,34924,0,0,0.8469554547645654,False,4551,217964,238656.0,0.0,480.0,0,0,239136.0,0,2
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,1,6,0,6,30.0,2,215460,198608,16852,0,0,0.9217859463473499,False,4686,167225,238656.0,0.0,16560.0,0,0,255216.0,0,69
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,3,6,0,6,30.0,2,215460,166827,48633,0,0,0.7742829295460875,False,4686,254712,238656.0,0.0,1440.0,0,0,240096.0,0,6
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,1,6,1,5,30.0,2,215460,168950,46510,0,0,0.784136266592407,False,4890,270830,238656.0,0.0,38880.0,0,0,277536.0,0,162
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,3,6,1,5,30.0,2,215460,77239,138221,0,0,0.3584841733964541,False,6138,568682,238656.0,0.0,20640.0,0,0,259296.0,0,86
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,1,6,2,4,30.0,2,215460,75319,140141,0,0,0.34957300659055046,False,5910,606728,238656.0,0.0,75360.0,0,0,314016.0,0,314
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,3,6,2,4,30.0,2,215460,15967,199493,0,0,0.07410656270305394,False,7866,1091017,238656.0,0.0,68880.0,0,0,307536.0,0,287
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,1,6,0,6,40.0,2,215460,210574,4886,0,0,0.9773229369720597,True,4278,56754,238656.0,0.0,4080.0,0,0,242736.0,0,17
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,3,6,0,6,40.0,2,215460,207265,8195,0,0,0.9619650979300102,True,4278,71957,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,1,6,1,5,40.0,2,215460,206422,9038,0,0,0.9580525387542932,True,4550,119738,238656.0,0.0,7200.0,0,0,245856.0,0,30
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,3,6,1,5,40.0,2,215460,192083,23377,0,0,0.8915019029054116,False,4550,158877,238656.0,0.0,480.0,0,0,239136.0,0,2
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,1,6,2,4,40.0,2,215460,193582,21878,0,0,0.8984591107398124,False,4822,200828,238656.0,0.0,25680.0,0,0,264336.0,0,107
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,3,6,2,4,40.0,2,215460,96971,118489,0,0,0.45006497725795974,False,5892,472957,238656.0,0.0,7920.0,0,0,246576.0,0,33
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,1,6,0,6,50.0,2,215460,213451,2009,0,0,0.9906757634827811,True,3870,28029,238656.0,0.0,1440.0,0,0,240096.0,0,6
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,3,6,0,6,50.0,2,215460,211844,3616,0,0,0.9832173025155482,True,3870,30205,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,1,6,1,5,50.0,2,215460,211436,4024,0,0,0.9813236795692936,True,4210,48398,238656.0,0.0,2640.0,0,0,241296.0,0,11
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,3,6,1,5,50.0,2,215460,208569,6891,0,0,0.9680172653856864,True,4210,59773,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,1,6,2,4,50.0,2,215460,207753,7707,0,0,0.9642300194931774,True,4550,112983,238656.0,0.0,6720.0,0,0,245376.0,0,28
extra0_ot0_temps2,deduplicated_sensitivity,0,0,2,3,6,2,4,50.0,2,215460,192137,23323,0,0,0.8917525294718277,False,4550,158606,238656.0,0.0,480.0,0,0,239136.0,0,2
extra0_ot0_temps4,retained,0,0,4,1,6,0,6,30.0,2,228195,216355,11840,0,0,0.9481145511514275,False,4687,173442,238656.0,0.0,30240.0,0,0,268896.0,0,126
extra0_ot0_temps4,retained,0,0,4,3,6,0,6,30.0,2,228195,142338,85857,0,0,0.6237559981594689,False,4687,365520,238656.0,0.0,3360.0,0,0,242016.0,0,14
extra0_ot0_temps4,retained,0,0,4,1,6,1,5,30.0,2,228195,201878,26317,0,0,0.8846731961699423,False,4891,244152,238656.0,0.0,58560.0,0,0,297216.0,0,244
extra0_ot0_temps4,retained,0,0,4,3,6,1,5,30.0,2,228195,42785,185410,0,0,0.18749315278599443,False,5853,704258,238656.0,0.0,35040.0,0,0,273696.0,0,146
extra0_ot0_temps4,retained,0,0,4,1,6,2,4,30.0,2,228195,174163,54032,0,0,0.7632200530248252,False,5095,331493,238656.0,0.0,101520.0,0,0,340176.0,0,423
extra0_ot0_temps4,retained,0,0,4,3,6,2,4,30.0,2,228195,21627,206568,0,0,0.09477420627095247,False,6804,884329,238656.0,0.0,88560.0,0,0,327216.0,0,369
extra0_ot0_temps4,retained,0,0,4,1,6,0,6,40.0,2,228195,224740,3455,0,0,0.9848594403908938,True,4279,71123,238656.0,0.0,6240.0,0,0,244896.0,0,26
extra0_ot0_temps4,retained,0,0,4,3,6,0,6,40.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4279,93937,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps4,retained,0,0,4,1,6,1,5,40.0,2,228195,221846,6349,0,0,0.9721773044983457,True,4551,129790,238656.0,0.0,14880.0,0,0,253536.0,0,62
extra0_ot0_temps4,retained,0,0,4,3,6,1,5,40.0,2,228195,193271,34924,0,0,0.8469554547645654,False,4551,217856,238656.0,0.0,720.0,0,0,239376.0,0,3
extra0_ot0_temps4,retained,0,0,4,1,6,2,4,40.0,2,228195,214640,13555,0,0,0.9405990490589189,False,4823,199025,238656.0,0.0,38160.0,0,0,276816.0,0,159
